date,Unit,Estimated NAV after Trading Team Carry,NAV per unit,PNL per unit,ETH haircut,fund,Date
2025-05-13,72.64,76.0451,1.046880494,0.0,,binggan,2025-05-13
2025-05-14,72.64,76.0451,1.046880494,0.0,,binggan,2025-05-14
2025-05-15,72.64,76.0451,1.046880494,0.0,,binggan,2025-05-15
2025-05-16,72.64,76.0841,1.04741739,0.0,,binggan,2025-05-16
2025-05-17,72.64,76.0841,1.04741739,0.0,,binggan,2025-05-17
2025-05-18,72.64,76.0841,1.04741739,0.0,,binggan,2025-05-18
2025-05-19,72.64,76.0841,1.04741739,0.0,,binggan,2025-05-19
2025-05-20,72.64,76.0841,1.04741739,0.0,,binggan,2025-05-20
2025-05-21,72.64,76.0841,1.04741739,0.0,,binggan,2025-05-21
2025-05-22,72.64,76.0841,1.04741739,0.0,,binggan,2025-05-22
2025-05-23,72.64,76.1361,1.048133252,0.0,,binggan,2025-05-23
2025-05-24,72.64,76.1361,1.048133252,0.0,,binggan,2025-05-24
2025-05-25,72.64,76.1361,1.048133252,0.0,,binggan,2025-05-25
2025-05-26,72.64,76.1361,1.048133252,0.0,,binggan,2025-05-26
2025-05-27,72.64,76.1361,1.048133252,0.0,,binggan,2025-05-27
2025-05-28,72.64,76.1361,1.048133252,0.0,,binggan,2025-05-28
2025-05-29,72.64,76.1361,1.048133252,0.0,,binggan,2025-05-29
2025-05-30,72.64,76.1881,1.048849114,0.0,,binggan,2025-05-30
2025-05-31,72.64,76.1881,1.048849114,0.0,,binggan,2025-05-31
2025-06-01,72.64,76.1881,1.048849114,0.0,,binggan,2025-06-01
2025-06-02,72.64,76.1881,1.048849114,0.0,,binggan,2025-06-02
2025-06-03,72.64,76.1881,1.048849114,0.0,,binggan,2025-06-03
2025-06-04,72.64,76.1881,1.048849114,0.0,,binggan,2025-06-04
2025-06-05,72.64,76.1881,1.048849114,0.0,,binggan,2025-06-05
2025-06-06,72.64,76.2272,1.0493878,0.0,,binggan,2025-06-06
2025-06-07,72.64,76.2272,1.0493878,0.0,,binggan,2025-06-07
2025-06-08,72.64,76.2272,1.0493878,0.0,,binggan,2025-06-08
2025-06-09,72.64,76.2272,1.0493878,0.0,,binggan,2025-06-09
2025-06-10,72.64,76.2272,1.0493878,0.0,,binggan,2025-06-10
2025-06-11,72.64,76.2272,1.0493878,0.0,,binggan,2025-06-11
2025-06-12,72.64,76.2272,1.0493878,0.0,,binggan,2025-06-12
2025-06-13,72.64,76.2597,1.049835214,0.0,,binggan,2025-06-13
2025-06-14,72.64,76.2597,1.049835214,0.0,,binggan,2025-06-14
2025-06-15,72.64,76.2597,1.049835214,0.0,,binggan,2025-06-15
2025-06-16,72.64,76.2597,1.049835214,0.0,,binggan,2025-06-16
2025-06-17,72.64,76.2597,1.049835214,0.0,,binggan,2025-06-17
2025-06-18,72.64,76.2597,1.049835214,0.0,,binggan,2025-06-18
2025-06-19,72.64,76.2597,1.049835214,0.0,,binggan,2025-06-19
2025-06-20,72.64,76.2597,1.049835214,0.0,,binggan,2025-06-20
2025-06-21,72.64,76.2662,1.049924697,0.0,,binggan,2025-06-21
2025-06-22,72.64,76.2662,1.049924697,0.0,,binggan,2025-06-22
2025-06-23,72.64,76.2662,1.049924697,0.0,,binggan,2025-06-23
2025-06-24,72.64,76.2662,1.049924697,0.0,,binggan,2025-06-24
2025-06-25,72.64,76.2662,1.049924697,0.0,,binggan,2025-06-25
2025-06-26,72.64,76.2662,1.049924697,0.0,,binggan,2025-06-26
2025-06-27,72.64,76.2792,1.050103662,0.0,,binggan,2025-06-27
2025-06-28,72.64,76.2792,1.050103662,0.0,,binggan,2025-06-28
2025-06-29,72.64,76.2792,1.050103662,0.0,,binggan,2025-06-29
